    0.09176	         1
    0.09176	     0.997
     0.2019	     0.997
     0.2019	     0.994
     0.2753	     0.994
     0.2753	     0.989
     0.3303	     0.989
     0.3303	     0.983
     0.5873	     0.983
     0.5873	     0.979
     0.6423	     0.979
     0.6423	     0.972
     0.8992	     0.972
     0.8992	     0.967
     0.9727	     0.967
     0.9727	     0.964
      1.321	     0.964
      1.321	     0.958
      1.487	     0.958
      1.487	     0.952
       1.89	     0.952
       1.89	     0.949
      2.092	     0.949
      2.092	     0.945
      2.221	     0.945
      2.221	     0.942
      2.569	     0.942
      2.569	     0.931
      2.716	     0.931
      2.716	     0.927
      2.845	     0.927
      2.845	     0.919
      2.955	     0.919
      2.955	     0.915
      3.046	     0.915
      3.046	     0.911
      3.358	     0.911
      3.358	     0.904
      3.432	     0.904
      3.432	     0.897
      3.487	     0.897
      3.487	     0.893
       3.56	     0.893
       3.56	      0.89
      3.634	      0.89
      3.634	     0.885
      3.891	     0.885
      3.891	     0.881
      4.019	     0.881
      4.019	     0.878
      4.074	     0.878
      4.074	     0.874
      4.276	     0.874
      4.276	     0.869
      4.349	     0.869
      4.349	     0.866
      4.423	     0.866
      4.423	     0.863
      4.588	     0.863
      4.588	     0.859
      4.661	     0.859
      4.661	     0.856
      4.735	     0.856
      4.735	     0.851
      4.808	     0.851
      4.808	     0.847
       5.12	     0.847
       5.12	     0.844
      5.175	     0.844
      5.175	      0.84
       5.23	      0.84
       5.23	     0.836
      5.285	     0.836
      5.285	     0.832
      5.432	     0.832
      5.432	     0.826
      5.506	     0.826
      5.506	     0.822
      5.671	     0.822
      5.671	     0.816
      5.744	     0.816
      5.744	      0.81
      5.928	      0.81
      5.928	     0.806
      6.093	     0.806
      6.093	     0.802
      6.185	     0.802
      6.185	     0.799
      6.442	     0.799
      6.442	     0.792
      6.515	     0.792
      6.515	     0.788
       6.57	     0.788
       6.57	      0.78
      6.625	      0.78
      6.625	     0.776
       6.68	     0.776
       6.68	     0.772
      6.735	     0.772
      6.735	     0.767
       6.79	     0.767
       6.79	     0.764
      6.882	     0.764
      6.882	     0.758
      7.047	     0.758
      7.047	     0.754
      7.121	     0.754
      7.121	     0.749
      7.212	     0.749
      7.212	     0.746
      7.286	     0.746
      7.286	     0.743
      7.359	     0.743
      7.359	     0.736
      7.469	     0.736
      7.469	      0.73
      7.726	      0.73
      7.726	     0.727
      7.781	     0.727
      7.781	     0.723
      7.946	     0.723
      7.946	      0.72
      8.001	      0.72
      8.001	     0.715
      8.056	     0.715
      8.056	     0.711
      8.112	     0.711
      8.112	     0.707
      8.167	     0.707
      8.167	     0.704
       8.24	     0.704
       8.24	       0.7
      8.313	       0.7
      8.313	     0.697
      8.387	     0.697
      8.387	      0.69
      8.442	      0.69
      8.442	     0.686
      8.589	     0.686
      8.589	     0.678
      8.644	     0.678
      8.644	     0.671
      9.047	     0.671
      9.047	     0.667
      9.103	     0.667
      9.103	     0.663
      9.304	     0.663
      9.304	     0.659
      9.359	     0.659
      9.359	     0.656
      9.506	     0.656
      9.506	     0.652
      9.818	     0.652
      9.818	     0.645
      9.873	     0.645
      9.873	     0.641
      10.09	     0.641
      10.09	     0.637
       10.3	     0.637
       10.3	     0.629
      10.35	     0.629
      10.35	     0.622
      10.41	     0.622
      10.41	     0.618
      10.48	     0.618
      10.48	     0.613
      10.53	     0.613
      10.53	     0.609
      10.59	     0.609
      10.59	     0.606
      10.74	     0.606
      10.74	       0.6
      10.81	       0.6
      10.81	     0.595
      10.88	     0.595
      10.88	     0.591
      11.01	     0.591
      11.01	     0.576
      11.23	     0.576
      11.23	     0.572
      11.32	     0.572
      11.32	     0.565
      11.38	     0.565
      11.38	      0.56
      11.47	      0.56
      11.47	      0.55
       11.6	      0.55
       11.6	     0.545
       11.8	     0.545
       11.8	     0.542
      11.87	     0.542
      11.87	     0.539
      11.97	     0.539
      11.97	     0.532
      12.06	     0.532
      12.06	     0.527
      12.22	     0.527
      12.22	     0.524
      12.35	     0.524
      12.35	      0.52
      12.41	      0.52
      12.41	     0.516
       12.5	     0.516
       12.5	     0.512
      12.55	     0.512
      12.55	     0.508
      12.75	     0.508
      12.75	     0.505
      12.88	     0.505
      12.88	     0.497
      12.96	     0.497
      12.96	     0.493
      13.75	     0.493
      13.75	     0.489
      13.95	     0.489
      13.95	     0.482
         14	     0.482
         14	     0.479
       14.2	     0.479
       14.2	     0.474
      14.42	     0.474
      14.42	     0.471
      14.48	     0.471
      14.48	     0.467
      14.57	     0.467
      14.57	     0.462
      14.63	     0.462
      14.63	     0.448
       14.7	     0.448
       14.7	     0.445
      14.75	     0.445
      14.75	     0.433
      14.81	     0.433
      14.81	     0.426
      14.92	     0.426
      14.92	     0.417
      14.98	     0.417
      14.98	     0.413
      15.07	     0.413
      15.07	     0.407
      15.12	     0.407
      15.12	     0.403
      15.69	     0.403
      15.69	     0.399
      15.76	     0.399
      15.76	     0.396
      15.82	     0.396
      15.82	     0.389
      15.87	     0.389
      15.87	     0.383
      15.93	     0.383
      15.93	      0.38
