    0.09179	         1
     0.3672	         1
      0.367	     0.989
     0.4955	     0.989
     0.4954	     0.983
     0.8442	     0.983
      0.844	     0.976
     0.9358	     0.976
     0.9357	      0.97
      1.119	      0.97
      1.119	     0.967
      1.321	     0.967
      1.321	     0.964
      1.376	     0.964
      1.376	     0.959
      1.431	     0.959
      1.431	      0.95
      1.504	      0.95
      1.504	     0.946
      1.596	     0.946
      1.596	     0.942
      1.816	     0.942
      1.816	     0.937
      2.055	     0.937
      2.055	     0.934
      2.183	     0.934
      2.183	      0.93
      2.716	      0.93
      2.716	     0.927
      2.826	     0.927
      2.826	     0.918
      2.954	     0.918
      2.954	     0.915
      3.119	     0.915
      3.119	     0.911
      3.321	     0.911
      3.321	     0.905
      3.688	     0.905
      3.688	       0.9
       3.89	       0.9
       3.89	     0.893
      4.074	     0.893
      4.074	     0.889
      4.129	     0.889
      4.129	     0.884
      4.275	     0.884
      4.275	     0.881
      4.477	     0.881
      4.477	     0.874
      4.532	     0.874
      4.532	     0.869
      4.606	     0.869
      4.605	     0.864
      4.661	     0.864
      4.661	     0.861
      4.789	     0.861
      4.789	     0.858
      4.844	     0.858
      4.844	     0.855
      4.899	     0.855
      4.899	     0.847
      5.027	     0.847
      5.027	     0.842
      5.082	     0.842
      5.082	     0.839
      5.156	     0.839
      5.156	     0.832
      5.284	     0.832
      5.284	     0.828
      5.413	     0.828
      5.413	     0.825
      5.596	     0.825
      5.596	     0.821
      5.669	     0.821
      5.669	     0.816
      5.871	     0.816
      5.871	     0.809
      5.945	     0.809
      5.945	     0.804
      6.018	     0.804
      6.018	     0.799
       6.11	     0.799
      6.109	     0.787
      6.183	     0.787
      6.183	     0.782
      6.256	     0.782
      6.256	     0.775
      6.311	     0.775
      6.311	     0.771
       6.55	     0.771
       6.55	     0.764
      6.605	     0.764
      6.605	     0.759
      6.678	     0.759
      6.678	     0.753
      6.733	     0.753
      6.733	     0.748
      6.788	     0.748
      6.788	     0.741
       6.88	     0.741
       6.88	     0.733
      6.953	     0.733
      6.953	     0.729
        7.1	     0.729
        7.1	     0.726
      7.155	     0.726
      7.155	     0.721
       7.21	     0.721
       7.21	      0.71
      7.265	      0.71
      7.264	     0.702
       7.32	     0.702
      7.319	     0.694
      7.411	     0.694
      7.411	     0.689
      7.466	     0.689
      7.466	     0.686
      7.521	     0.686
      7.521	     0.678
      7.576	     0.678
      7.576	     0.671
      7.668	     0.671
      7.668	     0.663
      7.815	     0.663
      7.814	     0.655
      7.888	     0.655
      7.888	     0.648
      7.961	     0.648
      7.961	     0.645
      8.035	     0.645
      8.034	     0.638
      8.108	     0.638
      8.108	     0.635
      8.163	     0.635
      8.163	     0.627
      8.254	     0.627
      8.254	     0.623
      8.365	     0.623
      8.365	      0.62
      8.511	      0.62
      8.511	     0.617
      8.566	     0.617
      8.566	     0.608
      8.676	     0.608
      8.676	     0.604
      8.768	     0.604
      8.768	     0.601
      8.823	     0.601
      8.823	     0.596
      8.878	     0.596
      8.878	     0.593
       8.97	     0.593
       8.97	     0.586
      9.025	     0.586
      9.025	     0.583
       9.08	     0.583
       9.08	     0.578
       9.19	     0.578
       9.19	     0.571
      9.245	     0.571
      9.245	     0.567
        9.3	     0.567
        9.3	     0.555
      9.373	     0.555
      9.373	     0.551
      9.428	     0.551
      9.428	     0.544
      9.501	     0.544
      9.501	      0.54
       9.63	      0.54
       9.63	     0.533
      9.721	     0.533
      9.721	     0.528
       9.96	     0.528
       9.96	     0.524
      10.02	     0.524
      10.01	     0.521
      10.13	     0.521
      10.12	     0.509
      10.29	     0.509
      10.29	     0.506
      10.47	     0.506
      10.47	     0.499
      10.53	     0.499
      10.53	     0.494
      10.68	     0.494
      10.68	     0.488
      10.73	     0.488
      10.73	     0.484
       10.8	     0.484
       10.8	     0.468
      10.88	     0.468
      10.88	     0.456
      11.01	     0.456
      11.01	      0.45
      11.06	      0.45
      11.06	     0.446
      11.13	     0.446
      11.13	     0.438
      11.19	     0.438
      11.19	     0.426
      11.24	     0.426
      11.24	     0.422
      11.32	     0.422
      11.32	     0.416
      11.63	     0.416
      11.63	     0.412
      11.68	     0.412
      11.68	     0.407
      11.74	     0.407
      11.74	       0.4
      11.89	       0.4
      11.89	     0.397
      12.14	     0.397
      12.14	     0.392
      12.33	     0.392
      12.33	     0.388
      12.42	     0.388
      12.42	     0.385
      12.53	     0.385
      12.53	     0.381
      12.58	     0.381
      12.58	     0.378
      12.73	     0.378
      12.73	     0.373
      12.91	     0.373
      12.91	      0.37
      12.97	      0.37
      12.97	     0.363
      13.02	     0.363
      13.02	     0.355
      13.44	     0.355
      13.44	     0.351
      13.54	     0.351
      13.54	     0.342
      13.59	     0.342
      13.59	     0.339
       13.9	     0.339
       13.9	     0.335
      13.96	     0.335
      13.96	     0.328
      14.05	     0.328
      14.05	     0.323
      14.29	     0.323
      14.29	      0.32
      14.66	      0.32
      14.66	     0.316
      15.04	     0.316
      15.04	     0.313
      15.11	     0.313
      15.11	     0.308
      15.17	     0.308
      15.17	     0.304
      15.57	     0.304
      15.57	       0.3
      15.65	       0.3
      15.65	     0.293
      15.72	     0.293
      15.72	     0.288
      15.87	     0.288
      15.87	     0.285
      15.94	     0.285
      15.94	     0.281
      16.01	     0.281
      16.01	     0.277
      16.31	     0.277
      16.31	     0.273
      16.51	     0.273
      16.51	      0.27
      16.75	      0.27
      16.75	     0.266
         17	     0.266
         17	     0.263
      17.24	     0.263
      17.24	     0.259
      17.57	     0.259
      17.57	     0.254
      17.65	     0.254
      17.65	     0.251
      17.96	     0.251
      17.96	     0.247
      18.18	     0.247
      18.18	     0.243
      18.29	     0.243
      18.29	     0.238
      18.82	     0.238
      18.82	     0.235
      19.28	     0.235
      19.28	     0.231
      19.57	     0.231
      19.57	     0.227
      19.81	     0.227
      19.81	     0.219
      20.03	     0.219
      20.03	     0.216
      20.55	     0.216
      20.55	     0.211
      20.75	     0.211
      20.75	     0.204
      20.91	     0.204
      20.91	       0.2
      21.24	       0.2
      21.24	     0.196
      21.45	     0.196
      21.45	     0.192
      21.68	     0.192
      21.68	     0.187
      21.87	     0.187
      21.87	     0.183
         22	     0.183
         22	     0.177
      22.31	     0.177
      22.31	     0.173
      22.69	     0.173
      22.69	     0.168
      22.77	     0.168
      22.77	     0.165
      23.26	     0.165
      23.26	     0.161
      23.36	     0.161
      23.35	     0.157
      23.48	     0.157
      23.48	     0.154
      23.54	     0.154
      23.54	     0.146
      23.65	     0.146
      23.65	     0.142
      24.14	     0.142
      24.14	     0.138
      24.66	     0.138
      24.66	     0.133
      25.14	     0.133
